     13 H. ovarian
     22 H. pancreatic
      4 H. parasuis
     16 H. promyelocytic
     49 H. prostate
      1 H. pulchellus
     13 H. pylori
      9 H. renal
      9 H. rhabdomyosarcoma
      2 H. sativum
     10 H. simplex
     15 H. skin
      1 H. somni
      1 H. spp
     21 H. squamous
      1 I. molecular
     14 J. cancer
     30 J. cells
      3 K. aerogenes
      1 K. cryocrescens
     50 K. oxytoca
      1 K. ozaenae
     98 K. pneumonia
   1060 K. pneumoniae
     13 K. rhizophila
      4 K. sp
      1 K. terrigena
     22 L. acidophilus
      2 L. algicola
      3 L. alimentarius
      1 L. amazonensis
     12 L. anguillarum
      2 L. bozemanii
      6 L. braziliensis
      4 L. brevis
      2 L. bulgaricus
     26 L. casei
      1 L. corenyformis
      1 L. corymbifera
      2 L. coryneformis
      7 L. coryniformis
      3 L. curvatus
      2 L. denitrificans
      3 L. donovani
      2 L. dumofii
      2 L. feeleii
      1 L. fermenti
      8 L. fermentum
     21 L. fleischmannii
      1 L. garviae
     45 L. garvieae
     25 L. grayi
     22 L. infantum
    185 L. innocua
     31 L. ivanovii
      3 L. kimchii
    179 L. lactis
      2 L. longbeachae
     13 L. maculans
     18 L. major
     19 L. mesenteroides
      4 L. mexicana
      2 L. micdadei
      1 L. moncyrogenes
      2 L. monocytogene
    404 L. monocytogenes
      1 L. monocytogenes.gram-negative
      1 L. mucor
      1 L. murrayi
      2 L. oakridgensis
      1 L. paracasei
     25 L. plantarum
      8 L. pneumophila
      1 L. raffinolactis
      1 L. reuteri
      1 L. rhamnosus
     45 L. sakei
      8 L. seeligeri
      7 L. sp
      1 L. tropica
      2 L. viridescens
      1 L. welshimeri
      1 M. abscessus
      1 M. albican
      1 M. albicans
      4 M. anisopliae
     11 M. arachidicola
      1 M. audouinii
      2 M. avidus
      5 M. avium
     12 M. bovis
     10 M. canis
      6 M. catarrhalis
      4 M. cells
      2 M. circinelloides
      1 M. citreus
      3 M. eumusae
      1 M. fortuitum
     19 M. furfur
      7 M. gallisepticum
     13 M. grisea
      1 M. gypseum
     17 M. haemolytica
      1 M. hominis
      1 M. humenis
      1 M. lutes
   1119 M. luteus
      4 M. lymphocytic
     55 M. lysodeikticus
     13 M. maritypicum
      6 M. morganii
      5 M. mycoides
      4 M. myeloma
      2 M. nishinomiyaensis
      2 M. oxydans
      1 M. phaseolina
      2 M. phlei
      1 M. s
      2 M. scarlatinae
     12 M. skin
     60 M. smegmatis
      1 M. spp
      2 M. sympodialis
     73 M. tuberculosis
      6 M. vaccae
      1 M. viscosa
     94 N. asteroides
     16 N. brasiliensis
      1 N. catrrhalis
      3 N. cinerea
     68 N. crassa
     41 N. gonorrhoeae
      3 N. gonorrhoeoe
     33 N. haematococca
      3 N. iactamica
      8 N. meningitidis
      2 N. spp
      1 O. carcinoma
      1 O. cayaporum
      5 O. epidermoid
     11 P. acidilactici
      4 P. acidipropionici
      1 P. acidolacrici
      2 P. acidovorans
     84 P. acnes
      2 P. aeroginosa
   4966 P. aeruginosa
      3 P. aeruginsa
      2 P. alginovora
      4 P. anaerobius
      1 P. apacia
      2 P. aphanidermatum
      4 P. asaccharolyticus
      1 P. azadirachtae
      7 P. betae
      2 P. capsici
     70 P. carotovorum
      1 P. cepacia
      1 P. chrysogenum
      1 P. cichorii
      6 P. citreus
      2 P. coronata
     70 P. corrugata
     10 P. crustosum
      7 P. cryptogea
      2 P. cucumerina
      1 P. curious
     16 P. dameselae
      1 P. damsela
      6 P. damselae
      3 P. debaryanum
      3 P. denitrificans
      9 P. dextrinicus
     27 P. digitatum
      2 P. diospyri
      4 P. etchellsii
      3 P. exigua
     36 P. expansum
     84 P. faecalis
     18 P. falciparum
      1 P. flourescences
      2 P. fluorences
     95 P. fluorescens
      4 P. fluorescent
     12 P. freudenreichii
     24 P. gingivalis
      1 P. glumae
      1 P. graminicola
      1 P. granivorans
      3 P. grisea
     12 P. haemolytica
      1 P. heliothis
      1 P. immobilis
      2 P. immobilisc
      6 P. infestans
     14 P. italicum
      2 P. jensenii
      1 P. lachrymans
      2 P. larvae
      1 P. lilacinum
      4 P. litchii
      1 P. luteola
      2 P. macerans
      2 P. maculicola
     17 P. maltophilia
      4 P. melaninogenica
      2 P. micros
    203 P. mirabilis
     96 P. multocida
      4 P. nicotianae
      1 P. nigrella
      5 P. oryzae
      6 P. parasitica
     51 P. pastoris
     25 P. pentosaceus
      7 P. pickettii
      4 P. piricola
      2 P. pisi
      2 P. polymyxa
    108 P. putida
      1 P. pyocyanea
      3 P. rettgeri
      1 P. roqueforti
      1 P. rubrilineans
      1 P. s
      2 P. sarana
      2 P. shigelloides
      5 P. solanacearum
      2 P. sorghi
     32 P. sp
      2 P. sp.
      1 P. species
      1 P. spiniger
      1 P. ssp
      1 P. stipitis
      1 P. stiptis
      5 P. stuartii
     20 P. stutzeri
    370 P. syringae
      2 P. tannophilus
      2 P. thoenii
      4 P. thomii
     16 P. trehalosi
      2 P. tritici
      7 P. ultimum
      2 P. uticale
      1 P. valerianella
    173 P. vulgaris
     21 R. cerealis
      3 R. equi
      6 R. eutropha
      3 R. gnavus
      1 R. homothallicus
     10 R. meliloti
      3 R. nasimurium
      2 R. obeum
      4 R. oryzae
      1 R. pheochromocytoma
      1 R. prolixus
      3 R. radiobacter
     45 R. rhodochrous
      8 R. rubra
      3 R. solanacearum
     55 R. solani
      3 R. sp
      1 R. sphenocephala
     13 R. stolonifer
      1 S. a
     72 S. agalactiae
      1 S. agalactiaea
      5 S. alactolyticus
      2 S. albus
      1 S. alpha
      1 S. anatum
      3 S. anginosus
      2 S. apiospermum
      2 S. apis
      5 S. arizonae
      1 S. aureu
   8954 S. aureus
      1 S. aureuss
      1 S. beta
     25 S. bovis
     27 S. capitis
     45 S. carnosus
    284 S. cerevisiae
     34 S. choleraesuis
      8 S. citri
      2 S. coag
      2 S. cohnii
      1 S. dysemeriae
     25 S. dysentariae
    114 S. dysenteriae
      1 S. dysentery
